,Growth,Discount,Risk_Premium
1983-11-01,-0.6121264640447002,3.2232175687406386,2.1907482709034976
1983-12-01,-0.6849524408582125,3.241927414183612,2.2174137377306824
1984-01-01,-0.7551629871884158,3.0901483874141684,2.1393817894050753
1984-02-01,-0.6377295341960605,3.061996998879122,1.9093815594507821
1984-03-01,-0.811891972928477,3.2618852862767986,2.115545375434222
1984-04-01,-0.9936525776885842,3.389913207620238,2.2964212850526597
1984-05-01,-0.9305100263484266,3.873298565458523,2.5399911706312817
1984-06-01,-0.7980404702442377,3.925969708087802,2.4124540041954914
1984-07-01,-0.7420432961534447,3.7615113540347416,2.2327651879353594
1984-08-01,-1.037542770077781,3.4334774242865613,2.3560324554198835
1984-09-01,-1.1527937946372142,3.2708107896385505,2.3387684570100484
1984-10-01,-1.1824612312384224,2.9907532199351414,2.1566844985942204
1984-11-01,-1.174950549729752,2.612362882219506,1.905846545174867
1984-12-01,-0.9754984673128992,2.5935980314877156,1.7404937794670317
1985-01-01,-0.9382833035170545,2.6533886203456056,1.843970867174064
1985-02-01,-0.8448418753148693,2.9208059234510886,2.0698872750691244
1985-03-01,-0.46616016963799534,3.2839795790671484,2.0698758716974557
1985-04-01,-0.3325110576320854,3.1087005459978645,1.9053604446235994
1985-05-01,-0.5535444957250107,2.7193394053813793,1.8563174273124474
1985-06-01,-0.9290414497165731,2.20839866327944,1.8200035115777229
1985-07-01,-0.8956420528810978,2.367911284893583,1.9486346531637122
1985-08-01,-0.5635117008005499,2.4796343339255404,1.7868976148231723
1985-09-01,-0.21414211837696023,2.604502259887666,1.623492011506723
1985-10-01,-0.02103075415479476,2.634011094787822,1.5575067314583406
1985-11-01,-0.2639944302184018,2.3802458005696416,1.649546534168678
1985-12-01,-0.5860626776186972,2.0292741386722586,1.7086311178882796
1986-01-01,-0.587666163976179,1.9876065890254282,1.695517929228739
1986-02-01,-0.6893748883721393,1.69657112850906,1.6265830662987983
1986-03-01,-0.950345853032868,1.0615623203818547,1.42950113534025
1986-04-01,-1.176865688562635,0.6836834828033612,1.3432521390987524
1986-05-01,-1.1997175054898994,0.9440694184519447,1.5381307504721928
1986-06-01,-1.162111619876459,1.0575285618252686,1.6203777071450431
1986-07-01,-1.0873264720311844,0.7186434701745893,1.3150486353621342
1986-08-01,-1.0349270372508685,0.6676755576636649,1.2637535867240566
1986-09-01,-0.7957204762511842,0.8975424798843379,1.2343794696942916
1986-10-01,-0.49201687971201286,0.9996927785557554,1.1077324278451381
1986-11-01,-0.429643652012217,0.9617838293450274,1.0829986969803864
1986-12-01,-0.5400332382581767,0.8636415583153766,1.1152232092465044
1987-01-01,-0.4968525707009731,0.9357137176626937,1.1888578203146087
1987-02-01,-0.6304106238431678,1.0652676615871273,1.4135526321256453
1987-03-01,-0.7430072856224419,1.0805572920905748,1.5274243211040368
1987-04-01,-0.43706816371366164,1.7240549558843723,1.7714600523806294
1987-05-01,0.0969823379715481,2.3361666481370498,1.8497234754363927
1987-06-01,0.06563206897526291,2.2650127302251697,1.8712862707856683
1987-07-01,-0.2000286428615629,2.2049384325000867,2.0082972812121906
1987-08-01,-0.2231760020794719,2.452457192049009,2.2174099959972176
1987-09-01,-0.09861111462570003,2.874439340498993,2.373739493766722
1987-10-01,0.021694858598187816,2.778231895351673,2.0830329967083445
