,beta_growth,beta_discount,beta_risk_premium,P_trace
1973-08-01,-0.044108464470593516,-0.07362917817536636,-0.039809534036369554,0.04070325484751154
1973-09-01,-0.05475321974260148,-0.07614711608173445,-0.029325637273301616,0.041206078751444164
1973-10-01,-0.07951992465705565,-0.06630950376500953,-0.0476425616050553,0.042288293885623426
1973-11-01,-0.08841922340459749,-0.0677354853062806,-0.05916485264177569,0.04001828345843433
1973-12-01,-0.08470665017355555,-0.07427837206308238,-0.05411024653824376,0.04107147983205104
1974-01-01,-0.06501261195138497,-0.10738206681957034,-0.0390771098001347,0.04260737438182273
1974-02-01,-0.0679748133660286,-0.1024453893006922,-0.04158098957411894,0.044310349606230655
1974-03-01,-0.06896074197274503,-0.09473292326976826,-0.04572918939968783,0.04499868843374502
1974-04-01,-0.06673419054141935,-0.0713382676165915,-0.06365699496844893,0.04427171325775682
1974-05-01,-0.06358354658844162,-0.05035049618249469,-0.10548499929659971,0.04305593035716901
1974-06-01,-0.06317239821003887,-0.04276740284693039,-0.1215030272944665,0.04317847927013311
1974-07-01,-0.06386338918042836,-0.0459577600094134,-0.15508169369391697,0.04150641314042795
1974-08-01,-0.0723891025446223,-0.017877709058737066,-0.07292482214828802,0.03952559236716853
1974-09-01,-0.07972018078387912,-0.0289036027319882,-0.024366794842724693,0.04077456769327413
1974-10-01,-0.09419823369142763,-0.04885196180977901,-9.924454175198535e-05,0.04161460082582737
1974-11-01,-0.10846324538161355,-0.11156108899947145,0.005025359483007321,0.03748010169124788
1974-12-01,-0.13767456304198591,-0.14181266621143362,0.030462175051223634,0.03711921664636077
1975-01-01,-0.19893620852514815,-0.15874355928678538,0.0657528258642689,0.03390185317538529
1975-02-01,-0.14018947989926536,-0.16067920133691063,0.03392640140674386,0.03272992838972491
1975-03-01,-0.0991046776451591,-0.14518303126475252,0.015260218327194684,0.03339860280310407
1975-04-01,-0.06572623531915575,-0.12096172176306177,0.004949872038049025,0.03367838224326986
1975-05-01,-0.055721739155788236,-0.12123813097196291,-0.002748422475304331,0.03536694271149609
1975-06-01,-0.02680198140356925,-0.12544551593827752,-0.02847890512796887,0.037165169549810154
1975-07-01,-0.011030493802480019,-0.11915543413398359,-0.04040836752352475,0.03901331951241423
1975-08-01,-0.019627613243794896,-0.11486268711784384,-0.03519269509408146,0.040476049796796525
1975-09-01,-0.025853775028486566,-0.11864851264059176,-0.01244440749144635,0.042336648721699614
1975-10-01,-0.024741705865614687,-0.1164797592064688,-0.0028056560076245,0.04349532140166223
1975-11-01,-0.03081050527676791,-0.07498733410351725,0.02004363943716931,0.041490412167724776
1975-12-01,-0.034647344911303286,-0.07467188422502676,0.03133026766026645,0.043501664348661095
1976-01-01,-0.03172508533153094,-0.06969501663255749,0.04958542252527658,0.044868823569961
1976-02-01,-0.04887751612783457,-0.058793239537999926,0.029937714355921897,0.042329512331811925
1976-03-01,-0.06748060619740587,-0.059531470486404045,0.016557163815005847,0.03840599891338765
1976-04-01,-0.05173031265603677,-0.04595687510406015,0.025749651569977328,0.031863344484213296
1976-05-01,-0.029098495762207285,-0.04063984149464748,0.033834561580993586,0.03124253456637892
1976-06-01,-0.016268100432271705,-0.0334135961007212,0.03767750897206818,0.031154076409300974
1976-07-01,-0.009477759963462364,-0.018630568428188544,0.04447857939573113,0.030032061852288166
1976-08-01,-0.0230297520732204,-0.018899417785297534,0.03605907566371225,0.03182637337877736
1976-09-01,-0.027342834564641018,-0.024868565305976174,0.032996695361807916,0.03285459094369374
1976-10-01,-0.026852698409953236,-0.02434463108797711,0.03349201388930394,0.034680619503265495
1976-11-01,-0.019005835675935313,-0.02381845757174499,0.03935802841373907,0.036653921105580974
1976-12-01,-0.018555766670057587,-0.028439375904213866,0.03419058828560051,0.03646630112615044
1977-01-01,-0.029237743792323224,-0.01992791665284136,0.02272373754210797,0.037864617244125584
1977-02-01,-0.029095863263101415,-0.03089386798104906,0.009670952867340385,0.03848702327689078
1977-03-01,-0.02978369234295915,-0.02911750024678556,0.010941452109077623,0.036314111719526324
1977-04-01,-0.03080825840842922,-0.024670190277646192,0.014297925229593438,0.03691234381249722
