series,r2_spx,beta_spx,p_value,corr_spx,n_obs,sig,r2_growth,r2_discount,r2_riskprem,r2_gap,assigned_bucket,assignment_method,passes_filter
L3_consumer_credit_yoy,0.0067,-0.1165,0.4749,-0.082,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_nuclear_share,0.0062,0.3495,0.5269,0.079,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_petroleum_share,0.006,-0.1648,0.5336,-0.077,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_social_benefits_yoy,0.0059,0.0887,0.5009,0.077,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_pce_goods_yoy,0.0059,-0.0654,0.501,-0.077,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_corp_gva_yoy,0.0059,-0.0558,0.5022,-0.077,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_interest_profits_ratio,0.0058,0.0344,0.5061,0.076,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_dollar_index,0.0052,0.0004,0.5609,0.072,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_consumer_credit_dpi_ratio,0.0048,-0.4461,0.5424,-0.07,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_michigan_5y,0.0048,0.0023,0.6442,0.069,47,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_profit_margin,0.0047,-0.3929,0.5486,-0.069,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_ppi_yoy,0.0045,-0.0912,0.5578,-0.067,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_bank_deposits_yoy,0.0042,-0.2504,0.613,-0.065,63,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_cpi_yoy,0.0039,0.1432,0.5825,0.063,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_commercial_credit_yoy,0.0034,0.0764,0.6493,0.058,63,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_spending_sustainability_ratio,0.0033,-0.2649,0.6159,-0.057,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_pce_yoy,0.0028,0.1524,0.6453,0.053,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_coal_share,0.0026,-0.1305,0.6821,-0.051,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_defense_spending_yoy,0.0026,0.0723,0.6527,0.051,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_corp_debt_yoy,0.0022,-0.1132,0.6827,-0.047,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_personal_saving_rate_yoy,0.0021,-0.0256,0.6883,-0.046,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_natural_gas_share,0.0021,0.0718,0.7104,0.046,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_personal_saving_rate,0.0019,0.0017,0.7043,0.043,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_bank_reserves_yoy,0.0019,0.0444,0.7023,0.044,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_m2_yoy,0.0017,-0.1053,0.7206,-0.041,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_disposable_income_yoy,0.0017,-0.1414,0.7167,-0.041,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_transfers_dpi_ratio,0.0012,-0.3866,0.7605,-0.035,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_labor_force_participation,0.0012,-0.1312,0.7658,-0.034,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_consumer_credit_pce_ratio,0.0011,-0.092,0.7743,-0.033,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_crude_production,0.0008,0.0,0.8065,0.028,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
