,fair_value,spx_actual,over_under_pct,over_under_pctile,over_under_zscore,r_f_mapped,erp_mapped,g_mapped,denom_raw,denom_smooth,denom_clipped,eps_raw,eps_smooth
2005-08-01,3119.241622603621,1224.2700000000004,-0.6075103669019054,0.26365795724465557,-1.6786903265850588,0.05193761776737402,0.012749447962964091,0.03552981071027453,0.029157255020063583,0.032827251574542894,0.032827251574542894,108.36220570264773,102.39612946699445
2005-09-01,3198.5594690967855,1225.9200000000005,-0.6167274637710025,0.24465558194774348,-1.5980336443238041,0.051443296421477845,0.012346037202262928,0.035551016569962,0.028238317053778772,0.03226876474451813,0.03226876474451813,108.80550533199201,103.21356302963498
2005-10-01,3248.6678936753174,1191.9600000000003,-0.633092689369519,0.19477434679334918,-1.6241283641484208,0.053251409542951995,0.013476716116182078,0.03545078985336138,0.0312773358057727,0.03206592522006017,0.03206592522006017,110.41667981927715,104.1715417434031
2005-11-01,3302.66454104288,1237.3699999999997,-0.6253419066263157,0.21377672209026127,-1.2102603210886416,0.0535997509916133,0.01465769612403322,0.03501812973523611,0.03323931738041041,0.03189095703740045,0.03189095703740045,113.15521649797572,105.32513298734436
2005-12-01,3370.0623967631095,1262.0699999999995,-0.625505450221872,0.21140142517814728,-1.0554820953863508,0.05243178861235922,0.01495835209336615,0.0344648045758052,0.03292533612992017,0.0316326172508189,0.0316326172508189,115.4671694105691,106.60389390818483
2006-01-01,3440.4009109410736,1278.7299999999998,-0.6283194798799709,0.20190023752969122,-0.9752574282056649,0.051622487149102635,0.015309996033631779,0.034033913327330266,0.032898569855404146,0.031356133385762174,0.031356133385762174,116.14725826189276,107.87766986396599
2006-02-01,3477.8630382457795,1276.6500000000003,-0.632921139803154,0.19714964370546317,-0.9795930550992844,0.05247949181206138,0.016537566636208038,0.03366197479980877,0.03535508364846064,0.031407406836130296,0.031407406836130296,117.46383335010913,109.23065936252537
2006-03-01,3505.88879355823,1293.7399999999998,-0.6309808792631597,0.1995249406175772,-0.8479560839008395,0.053491388142468344,0.018194527760596102,0.03318843436942061,0.03849748153364384,0.031559931595121195,0.031559931595121195,118.35898928928931,110.64561050479972
2006-04-01,3452.2343852959043,1302.17,-0.6228037106789938,0.2209026128266033,-0.3933532285672177,0.05572245384414257,0.020223962811545645,0.0329512830737502,0.042995133581938016,0.03243528916747587,0.03243528916747587,118.34018021505379,111.97422056097598
2006-05-01,3354.92373479855,1290.0100000000004,-0.615487533555674,0.2494061757719715,0.21243333128837158,0.056763958089576814,0.02072818152038027,0.03300713319253917,0.04448500641741791,0.03373705253093177,0.03373705253093177,118.73069909465026,113.18523827816848
2006-06-01,3256.258502491963,1253.1700000000003,-0.6151503331074701,0.2517814726840855,0.5187985037581285,0.056743394724999216,0.01981741789598741,0.033334007542800005,0.043226805078186624,0.03510808904785622,0.03510808904785622,119.46962454411045,114.3210134683268
2006-07-01,3189.584526332082,1260.2400000000002,-0.6048889786127616,0.2684085510688836,1.7445804696988996,0.05673867289552831,0.019143826561787133,0.033635800506517356,0.042246698950798085,0.03621186170464958,0.03621186170464958,121.2921636363637,115.50079376282758
2006-08-01,3153.346490416447,1287.1500000000005,-0.5918145995335854,0.28741092636579574,2.3070202318506365,0.05518594925012736,0.01758794814832513,0.03390965589016138,0.03886424150829112,0.0370207772453352,0.0370207772453352,123.22473653751847,116.73933799906682
2006-09-01,3135.6524506164023,1317.7399999999996,-0.5797557220536479,0.30641330166270786,2.1988280971624055,0.053981794208743904,0.016368861208675117,0.03411772504604915,0.036232930371369876,0.037686995021801124,0.037686995021801124,126.01326890093642,118.17331829647885
2006-10-01,3137.13831233361,1363.3799999999997,-0.565406474225286,0.32304038004750596,2.1154364041692424,0.05410920874558517,0.016702040315749143,0.034053812716399734,0.036757436344934585,0.038143670066731285,0.038143670066731285,128.28048513379585,119.66196873935542
2006-11-01,3161.6423899022548,1388.6399999999994,-0.5607852411028273,0.33016627078384797,1.7650729504462424,0.05287479242638162,0.016111349805741606,0.033949395236449006,0.03503674699567422,0.03829345586800327,0.03829345586800327,130.05415156327538,121.07021332813038
2006-12-01,3181.632224039298,1416.4200000000003,-0.5548134101427478,0.3491686460807601,1.5791164043326689,0.052478601367729666,0.016318497455738188,0.03373820110808063,0.03505889771538722,0.03847125266679219,0.03847125266679219,131.44113567889005,122.4013771838238
2007-01-01,3180.8388509325673,1424.16,-0.552269050165034,0.35391923990498814,1.3715870206577736,0.05420020031450251,0.017508714991385167,0.03373652829427663,0.03797238701161104,0.03889407076314277,0.03889407076314277,131.9199883079072,123.715771354325
2007-02-01,3195.550009346132,1444.8000000000002,-0.5478712597911641,0.3681710213776722,1.2832017433933671,0.0539696483348379,0.01751314930643093,0.033698663962044954,0.037784133679223876,0.0390964915990397,0.0390964915990397,132.09210623475636,124.93479409471227
2007-03-01,3247.0418395325346,1406.9499999999996,-0.5666979147387416,0.32066508313539194,0.539564247218159,0.05215660678977744,0.01652443303837645,0.033494364174066996,0.035186675654086896,0.03882059110907662,0.03882059110907662,131.76646295142004,126.0520835665565
2007-04-01,3308.3424796444624,1463.64,-0.557591147529172,0.334916864608076,0.7442047787896383,0.05325418130400366,0.018301210303564783,0.033109957784424375,0.03844543382314406,0.038441449462510456,0.038441449462510456,131.8449402475253,127.17748023592912
2007-05-01,3366.8074223128406,1511.1400000000006,-0.551165299807401,0.36104513064133015,0.8743743565341917,0.05389660420945235,0.0193960288713983,0.03288655657217241,0.040406076508678244,0.03810153863678215,0.03810153863678215,131.9674532697922,128.28054308385762
2007-06-01,3380.162062198373,1514.1900000000005,-0.5520362715936735,0.35629453681710216,0.7484184298635754,0.05724806476958426,0.02118859828429845,0.03312176666421732,0.04531489638966539,0.03827554624607205,0.03827554624607205,132.6336995085241,129.3775493308921
2007-07-01,3381.7079134858145,1520.7099999999998,-0.5503130255763353,0.36342042755344417,0.79485947631257,0.056707675774682206,0.020897360591320736,0.03317775446553013,0.044427281900472806,0.038457261491878274,0.038457261491878274,129.3762778825951,130.05122551807804
2007-08-01,3388.633546065963,1454.6200000000001,-0.5707355250352336,0.3159144893111639,-1.1912438057731816,0.05377461406258316,0.018421926625703203,0.03336300938278221,0.038833531305504154,0.038454702308312695,0.038454702308312695,126.31676127172547,130.30889424592863
2007-09-01,3372.8982615094133,1497.1200000000003,-0.5561324760118851,0.34679334916864607,0.1400314850541713,0.053166018748290106,0.01786169185930032,0.03362981005719942,0.03739790055039101,0.038551783156564455,0.038551783156564455,122.68144659216277,130.03124238686414
2007-10-01,3331.371671737316,1539.6600000000003,-0.537830013666093,0.38004750593824227,1.9666051096769905,0.05398577465452635,0.018627502011419165,0.033783985630602247,0.038829291035343265,0.03872443771409851,0.03872443771409851,115.9715141478731,129.00549480470391
2007-11-01,3297.1941843861496,1463.39,-0.5561711206061573,0.34441805225653205,-0.20099149413800288,0.050807044787352915,0.016458710183521186,0.03383501883103347,0.03343073613984063,0.03859060347611238,0.03859060347611238,108.87677414750429,127.24071335338967
2007-12-01,3244.7994838135396,1479.2199999999998,-0.5441259136723278,0.37292161520190026,1.0530128027016428,0.05080061676413832,0.016721477776120847,0.033893866909694294,0.03362822763056488,0.03847138096904386,0.03847138096904386,102.53558075758444,124.83191710994754
2008-01-01,3242.9804537432083,1378.76,-0.5748478846338506,0.3087885985748218,-1.7871948394296169,0.04712794922298062,0.014588287947923766,0.03361971129523118,0.028096525875673205,0.037648392541049035,0.037648392541049035,99.05299649422024,122.09300112547362
2008-02-01,3227.505022533475,1354.8699999999997,-0.5802113426499099,0.30403800475059384,-1.7425123393666562,0.0465387890440938,0.015280236610094432,0.03311350358286008,0.02870552207132815,0.03689184157372439,0.03689184157372439,95.79934036552935,119.06860396970471
2008-03-01,3200.744326669171,1316.94,-0.588551953673081,0.29453681710213775,-1.8681983725802564,0.04397660108879945,0.01494122373930663,0.0324430949884065,0.026474729839699576,0.036165846089192114,0.036165846089192114,92.03473558502871,115.75762668917208
2008-04-01,3149.196431098595,1370.4699999999996,-0.5648191435546902,0.3254156769596199,-0.27653008832251463,0.045556883064432147,0.017615328571269587,0.03188679081727912,0.031285420818422616,0.035569178338798656,0.035569178338798656,86.92537375731028,112.01432948165417
2008-05-01,3059.2277282626164,1403.22,-0.5413156114412866,0.37767220902612825,1.1434350094403087,0.04741804158060006,0.020415285009836547,0.03131160452606567,0.036521722064370946,0.035245482135106386,0.035245482135106386,81.68297441436786,107.82395624370214
2008-06-01,2942.5290027241745,1341.25,-0.5441846116866548,0.37054631828978624,0.8975246107159585,0.047111929032715855,0.024870843220270004,0.029005953912706606,0.04297681834027925,0.03505064229765754,0.03505064229765754,76.39660288371458,103.137531524968
2008-07-01,2821.2380187470453,1257.33,-0.55433395139117,0.3515439429928741,0.3099466846965952,0.04509547281678457,0.025498202482062804,0.02795129265106971,0.04264238264777766,0.03490190069326628,0.03490190069326628,73.32472953149912,98.46656916237669
2008-08-01,2680.913948036262,1281.47,-0.5220025615000952,0.40380047505938244,1.7373701627667915,0.045464872962601995,0.023720798865208167,0.029087936604810592,0.040097735222999566,0.03500725101972423,0.03500725101972423,70.93506181742941,93.85142754118534
2008-09-01,2560.1788388155746,1216.95,-0.5246621128377882,0.39667458432304037,1.3283920340894706,0.044471458396800605,0.021404611109691246,0.02989062124674846,0.0359854482597434,0.034889546662170264,0.034889546662170264,68.34606482222114,89.32347906035687
